For learning rate: 0.001
____________________________________________________________
Epoch No 	 Accuracy
1	0.45878639074
2	0.478428621536
3	0.494563311119
4	0.513153279551
5	0.525429673799
6	0.545071904595
7	0.566467905998
8	0.580147316731
9	0.594528235707
10	0.611013679411
11	0.628551385479
12	0.64433532094
13	0.658365485794
14	0.674500175377
15	0.685724307261
16	0.694142406173
17	0.703963521571
18	0.710277095756
19	0.719396702911
20	0.727814801824
21	0.736583654858
22	0.742546474921
23	0.746404770256
24	0.748158540863
25	0.755875131533
26	0.762539459839
27	0.770957558751
28	0.776218870572
29	0.781480182392
30	0.784286215363
Maximum for this learning rate: 0.784286215363


For learning rate: 0.01
____________________________________________________________
Epoch No 	 Accuracy
1	0.664679059979
2	0.726411785338
3	0.763240968081
4	0.784636969484
5	0.804279200281
6	0.822869168713
7	0.835496317082
8	0.852683269028
9	0.858996843213
10	0.869168712732
11	0.876534549281
12	0.879691336373
13	0.8867064188
14	0.889512451771
15	0.895124517713
16	0.897579796563
17	0.900385829533
18	0.902490354262
19	0.903542616626
20	0.905296387233
21	0.905997895475
22	0.911259207296
23	0.91231146966
24	0.914415994388
25	0.915468256752
26	0.916871273237
27	0.918975797966
28	0.919326552087
29	0.921080322694
30	0.922483339179
Maximum for this learning rate: 0.922483339179


For learning rate: 0.1
____________________________________________________________
Epoch No 	 Accuracy
1	0.886355664679
2	0.916520519116
3	0.930901438092
4	0.937215012276
5	0.941073307611
6	0.945282357068
7	0.94843914416
8	0.952297439495
9	0.953349701859
10	0.952998947738
11	0.955454226587
12	0.955103472466
13	0.955103472466
14	0.955454226587
15	0.955804980709
16	0.955454226587
17	0.955103472466
18	0.955804980709
19	0.955454226587
20	0.955804980709
21	0.957558751315
22	0.959663276043
23	0.956506488951
24	0.959663276043
25	0.959663276043
26	0.960715538408
27	0.957909505437
28	0.960715538408
29	0.962118554893
30	0.96141704665
Maximum for this learning rate: 0.962118554893


For learning rate: 0.8
____________________________________________________________
Epoch No 	 Accuracy
1	0.950894423009
2	0.95615573483
3	0.958611013679
4	0.9638723255
5	0.967029112592
6	0.964924587864
7	0.96913363732
8	0.969835145563
9	0.970536653806
10	0.971238162048
11	0.97158891617
12	0.971939670291
13	0.972641178534
14	0.973342686777
15	0.972991932655
16	0.973693440898
17	0.973693440898
18	0.972991932655
19	0.974044195019
20	0.973342686777
21	0.973693440898
22	0.972991932655
23	0.974394949141
24	0.973693440898
25	0.974044195019
26	0.974044195019
27	0.974044195019
28	0.974394949141
29	0.974745703262
30	0.975797965626
Maximum for this learning rate: 0.975797965626


For learning rate: 0.9
____________________________________________________________
Epoch No 	 Accuracy
1	0.953349701859
2	0.960364784286
3	0.965626096107
4	0.967029112592
5	0.969484391442
6	0.971238162048
7	0.973342686777
8	0.974394949141
9	0.975797965626
10	0.975797965626
11	0.975797965626
12	0.976499473869
13	0.97685022799
14	0.976499473869
15	0.976148719747
16	0.976499473869
17	0.97685022799
18	0.976499473869
19	0.976148719747
20	0.976148719747
21	0.977551736233
22	0.978603998597
23	0.977902490354
24	0.977902490354
25	0.978954752718
26	0.978253244476
27	0.978603998597
28	0.978954752718
29	0.978603998597
30	0.978954752718
Maximum for this learning rate: 0.978954752718


