For learning rate: 0.001
____________________________________________________________
Epoch No 	 Accuracy
1	0.0997
2	0.0989
3	0.1556
4	0.1741
5	0.1811
6	0.1874
7	0.192
8	0.1967
9	0.2013
10	0.2066
11	0.2105
12	0.2144
13	0.2199
14	0.2244
15	0.2299
16	0.2349
17	0.2394
18	0.2438
19	0.2482
20	0.2521
21	0.2586
22	0.2639
23	0.2698
24	0.2752
25	0.2808
26	0.2873
27	0.2934
28	0.3004
29	0.3067
30	0.3122
Maximum for this learning rate: 0.3122


For learning rate: 0.01
____________________________________________________________
Epoch No 	 Accuracy
1	0.1777
2	0.2182
3	0.273
4	0.318
5	0.3596
6	0.4023
7	0.454
8	0.5089
9	0.5649
10	0.6061
11	0.6347
12	0.6578
13	0.6757
14	0.6896
15	0.6997
16	0.7113
17	0.7192
18	0.725
19	0.7326
20	0.7408
21	0.7468
22	0.7515
23	0.7569
24	0.7629
25	0.7654
26	0.7675
27	0.7697
28	0.7721
29	0.7735
30	0.7757
Maximum for this learning rate: 0.7757


For learning rate: 0.1
____________________________________________________________
Epoch No 	 Accuracy
1	0.6326
2	0.7414
3	0.7826
4	0.8174
5	0.8637
6	0.8782
7	0.8876
8	0.8935
9	0.9007
10	0.9038
11	0.9081
12	0.911
13	0.9132
14	0.9156
15	0.9181
16	0.9198
17	0.9212
18	0.9227
19	0.9246
20	0.9247
21	0.9267
22	0.9271
23	0.9291
24	0.9298
25	0.9302
26	0.9314
27	0.9325
28	0.9337
29	0.935
30	0.9357
Maximum for this learning rate: 0.9357


For learning rate: 0.8
____________________________________________________________
Epoch No 	 Accuracy
1	0.9026
2	0.9206
3	0.9335
4	0.938
5	0.944
6	0.9431
7	0.9471
8	0.9479
9	0.9488
10	0.948
11	0.9494
12	0.9508
13	0.9532
14	0.9537
15	0.9547
16	0.9537
17	0.9549
18	0.9548
19	0.9554
20	0.9555
21	0.9547
22	0.9566
23	0.957
24	0.9568
25	0.9577
26	0.9579
27	0.957
28	0.9573
29	0.9583
30	0.9585
Maximum for this learning rate: 0.9585


For learning rate: 0.9
____________________________________________________________
Epoch No 	 Accuracy
1	0.0982
2	0.0982
3	0.0982
4	0.0982
5	0.1067
6	0.8551
7	0.8583
8	0.8568
9	0.8585
10	0.8597
11	0.8606
12	0.8614
13	0.8617
14	0.948
15	0.9507
16	0.9484
17	0.952
18	0.9505
19	0.9533
20	0.9525
21	0.953
22	0.9536
23	0.9531
24	0.9549
25	0.9541
26	0.9542
27	0.955
28	0.9543
29	0.9563
30	0.9546
Maximum for this learning rate: 0.9563


